"x","px","qx"
0,0.99394,0.00606
1,0.99963,0.00037
2,0.99978,0.00022
3,0.99978,0.00022
4,0.99979,0.00021
5,0.99982,0.00018
6,0.99986,0.00014
7,0.99991,9e-005
8,0.99992,8e-005
9,0.99992,8e-005
10,0.99989,0.00011
11,0.99989,0.00011
12,0.99984,0.00016
13,0.99976,0.00024
14,0.99964,0.00036
15,0.99952,0.00048
16,0.9994,0.0006
17,0.99931,0.00069
18,0.99924,0.00076
19,0.99918,0.00082
20,0.99914,0.00086
21,0.99911,0.00089
22,0.99909,0.00091
23,0.99909,0.00091
24,0.99911,0.00089
25,0.99913,0.00087
26,0.99915,0.00085
27,0.99916,0.00084
28,0.99914,0.00086
29,0.99912,0.00088
30,0.99908,0.00092
31,0.99904,0.00096
32,0.99899,0.00101
33,0.99895,0.00105
34,0.9989,0.0011
35,0.99884,0.00116
36,0.99878,0.00122
37,0.99871,0.00129
38,0.99861,0.00139
39,0.99852,0.00148
40,0.9984,0.0016
41,0.99828,0.00172
42,0.99813,0.00187
43,0.99795,0.00205
44,0.99776,0.00224
45,0.99755,0.00245
46,0.99732,0.00268
47,0.99707,0.00293
48,0.99681,0.00319
49,0.99652,0.00348
50,0.99622,0.00378
51,0.99586,0.00414
52,0.99544,0.00456
53,0.99495,0.00505
54,0.9944,0.0056
55,0.9938,0.0062
56,0.99313,0.00687
57,0.99238,0.00762
58,0.99155,0.00845
59,0.99065,0.00935
60,0.98969,0.01031
61,0.98861,0.01139
62,0.98742,0.01258
63,0.98613,0.01387
64,0.98476,0.01524
65,0.98327,0.01673
66,0.9816,0.0184
67,0.97973,0.02027
68,0.9777,0.0223
69,0.97555,0.02445
70,0.97317,0.02683
71,0.97049,0.02951
72,0.96741,0.03259
73,0.964,0.036
74,0.96032,0.03968
75,0.95627,0.04373
76,0.95171,0.04829
77,0.94654,0.05346
78,0.94087,0.05913
79,0.93479,0.06521
80,0.92812,0.07188
81,0.92067,0.07933
82,0.91229,0.08771
83,0.90325,0.09675
84,0.89365,0.10635
85,0.88308,0.11692
86,0.87119,0.12881
87,0.85756,0.14244
88,0.84245,0.15755
89,0.82614,0.17386
90,0.80823,0.19177
91,0.78832,0.21168
92,0.76603,0.23397
93,0.7681,0.2319
94,0.7494,0.2506
95,0.72958,0.27042
96,0.70861,0.29139
97,0.68649,0.31351
98,0.66319,0.33681
99,0.63874,0.36126
100,0.61312,0.38688
101,0.58634,0.41366
102,0.55844,0.44156
103,0.52944,0.47056
104,0.49938,0.50062
105,0.46831,0.53169
106,0.43629,0.56371
107,0.40337,0.59663
108,0.36962,0.63038
109,0.33514,0.66486
